(void, TYPEVOID)
(main, IDENTIFIER)
((, LEFTPAREN)
(), RIGHTPAREN)
({, LEFTBRACE)
(int, TYPEINT)
([, LEFTBRACKET)
(], RIGHTBRACKET)
(b, IDENTIFIER)
(;, SEMICOLON)
(bool, TYPEBOOL)
([, LEFTBRACKET)
(], RIGHTBRACKET)
(c, IDENTIFIER)
(;, SEMICOLON)
(int, TYPEINT)
([, LEFTBRACKET)
(], RIGHTBRACKET)
(d, IDENTIFIER)
(;, SEMICOLON)
(string, TYPESTRING)
([, LEFTBRACKET)
(], RIGHTBRACKET)
(s, IDENTIFIER)
(;, SEMICOLON)
(b, IDENTIFIER)
(=, OPASSIGN)
(NewArray, KEYNEWARRAY)
((, LEFTPAREN)
(10, CONSTANTINTD)
(,, COMMA)
(int, TYPEINT)
(), RIGHTPAREN)
(;, SEMICOLON)
(c, IDENTIFIER)
(=, OPASSIGN)
(NewArray, KEYNEWARRAY)
((, LEFTPAREN)
(20, CONSTANTINTD)
(,, COMMA)
(bool, TYPEBOOL)
(), RIGHTPAREN)
(;, SEMICOLON)
(s, IDENTIFIER)
(=, OPASSIGN)
(NewArray, KEYNEWARRAY)
((, LEFTPAREN)
(3, CONSTANTINTD)
(,, COMMA)
(string, TYPESTRING)
(), RIGHTPAREN)
(;, SEMICOLON)
(b, IDENTIFIER)
([, LEFTBRACKET)
(3, CONSTANTINTD)
(], RIGHTBRACKET)
(=, OPASSIGN)
(5, CONSTANTINTD)
(;, SEMICOLON)
(c, IDENTIFIER)
([, LEFTBRACKET)
(6, CONSTANTINTD)
(], RIGHTBRACKET)
(=, OPASSIGN)
(true, CONSTANTTRUE)
(;, SEMICOLON)
(d, IDENTIFIER)
(=, OPASSIGN)
(b, IDENTIFIER)
(;, SEMICOLON)
(s, IDENTIFIER)
([, LEFTBRACKET)
(2, CONSTANTINTD)
(], RIGHTBRACKET)
(=, OPASSIGN)
("hello", CONSTANTSTR)
(;, SEMICOLON)
(Print, KEYPRINT)
((, LEFTPAREN)
(b, IDENTIFIER)
([, LEFTBRACKET)
(3, CONSTANTINTD)
(], RIGHTBRACKET)
(,, COMMA)
(b, IDENTIFIER)
(., PTR)
(length, IDENTIFIER)
((, LEFTPAREN)
(), RIGHTPAREN)
(,, COMMA)
("\n", CONSTANTSTR)
(), RIGHTPAREN)
(;, SEMICOLON)
(}, RIGHTBRACE)
