(class, KEYCLASS)
(Point, IDENTIFIER)
({, LEFTBRACE)
(int, TYPEINT)
(x, IDENTIFIER)
(;, SEMICOLON)
(int, TYPEINT)
(y, IDENTIFIER)
(;, SEMICOLON)
(void, TYPEVOID)
(Init, IDENTIFIER)
((, LEFTPAREN)
(int, TYPEINT)
(x, IDENTIFIER)
(,, COMMA)
(int, TYPEINT)
(y, IDENTIFIER)
(), RIGHTPAREN)
({, LEFTBRACE)
(this, KEYTHIS)
(., PTR)
(x, IDENTIFIER)
(=, OPASSIGN)
(x, IDENTIFIER)
(;, SEMICOLON)
(this, KEYTHIS)
(., PTR)
(y, IDENTIFIER)
(=, OPASSIGN)
(y, IDENTIFIER)
(;, SEMICOLON)
(}, RIGHTBRACE)
(void, TYPEVOID)
(PrintSelf, IDENTIFIER)
((, LEFTPAREN)
(), RIGHTPAREN)
({, LEFTBRACE)
(Print, KEYPRINT)
((, LEFTPAREN)
("[", CONSTANTSTR)
(,, COMMA)
(x, IDENTIFIER)
(,, COMMA)
(", ", CONSTANTSTR)
(,, COMMA)
(y, IDENTIFIER)
(,, COMMA)
("]\n", CONSTANTSTR)
(), RIGHTPAREN)
(;, SEMICOLON)
(}, RIGHTBRACE)
(void, TYPEVOID)
(PrintBoth, IDENTIFIER)
((, LEFTPAREN)
(Point, IDENTIFIER)
(other, IDENTIFIER)
(), RIGHTPAREN)
({, LEFTBRACE)
(PrintSelf, IDENTIFIER)
((, LEFTPAREN)
(), RIGHTPAREN)
(;, SEMICOLON)
(other, IDENTIFIER)
(., PTR)
(PrintSelf, IDENTIFIER)
((, LEFTPAREN)
(), RIGHTPAREN)
(;, SEMICOLON)
(Print, KEYPRINT)
((, LEFTPAREN)
(x, IDENTIFIER)
(,, COMMA)
(other, IDENTIFIER)
(., PTR)
(x, IDENTIFIER)
(), RIGHTPAREN)
(;, SEMICOLON)
(}, RIGHTBRACE)
(bool, TYPEBOOL)
(equals, IDENTIFIER)
((, LEFTPAREN)
(Point, IDENTIFIER)
(other, IDENTIFIER)
(), RIGHTPAREN)
({, LEFTBRACE)
(return, KEYRETURN)
((, LEFTPAREN)
(x, IDENTIFIER)
(==, EQUAL)
(other, IDENTIFIER)
(., PTR)
(x, IDENTIFIER)
(&&, LOGICALAND)
(y, IDENTIFIER)
(==, EQUAL)
(other, IDENTIFIER)
(., PTR)
(y, IDENTIFIER)
(), RIGHTPAREN)
(;, SEMICOLON)
(}, RIGHTBRACE)
(}, RIGHTBRACE)
(void, TYPEVOID)
(main, IDENTIFIER)
((, LEFTPAREN)
(), RIGHTPAREN)
({, LEFTBRACE)
(Point, IDENTIFIER)
(p, IDENTIFIER)
(;, SEMICOLON)
(Point, IDENTIFIER)
(q, IDENTIFIER)
(;, SEMICOLON)
(p, IDENTIFIER)
(=, OPASSIGN)
(new, KEYNEW)
(Point, IDENTIFIER)
(;, SEMICOLON)
(p, IDENTIFIER)
(., PTR)
(Init, IDENTIFIER)
((, LEFTPAREN)
(3, CONSTANTINTD)
(,, COMMA)
(5, CONSTANTINTD)
(), RIGHTPAREN)
(;, SEMICOLON)
(p, IDENTIFIER)
(., PTR)
(PrintSelf, IDENTIFIER)
((, LEFTPAREN)
(), RIGHTPAREN)
(;, SEMICOLON)
(q, IDENTIFIER)
(=, OPASSIGN)
(new, KEYNEW)
(Point, IDENTIFIER)
(;, SEMICOLON)
(q, IDENTIFIER)
(., PTR)
(Init, IDENTIFIER)
((, LEFTPAREN)
(5, CONSTANTINTD)
(,, COMMA)
(6, CONSTANTINTD)
(), RIGHTPAREN)
(;, SEMICOLON)
(q, IDENTIFIER)
(., PTR)
(PrintSelf, IDENTIFIER)
((, LEFTPAREN)
(), RIGHTPAREN)
(;, SEMICOLON)
(p, IDENTIFIER)
(., PTR)
(PrintBoth, IDENTIFIER)
((, LEFTPAREN)
(q, IDENTIFIER)
(), RIGHTPAREN)
(;, SEMICOLON)
(Print, KEYPRINT)
((, LEFTPAREN)
(p, IDENTIFIER)
(., PTR)
(equals, IDENTIFIER)
((, LEFTPAREN)
(q, IDENTIFIER)
(), RIGHTPAREN)
(), RIGHTPAREN)
(;, SEMICOLON)
(Print, KEYPRINT)
((, LEFTPAREN)
(q, IDENTIFIER)
(., PTR)
(equals, IDENTIFIER)
((, LEFTPAREN)
(q, IDENTIFIER)
(), RIGHTPAREN)
(), RIGHTPAREN)
(;, SEMICOLON)
(}, RIGHTBRACE)
