(void, TYPEVOID)
(main, IDENTIFIER)
((, LEFTPAREN)
(), RIGHTPAREN)
({, LEFTBRACE)
(int, TYPEINT)
(i, IDENTIFIER)
(;, SEMICOLON)
(int, TYPEINT)
(j, IDENTIFIER)
(;, SEMICOLON)
(for, KEYFOR)
((, LEFTPAREN)
(i, IDENTIFIER)
(=, OPASSIGN)
(2, CONSTANTINTD)
(;, SEMICOLON)
(i, IDENTIFIER)
(<, LESS)
(7, CONSTANTINTD)
(;, SEMICOLON)
(i, IDENTIFIER)
(=, OPASSIGN)
(i, IDENTIFIER)
(+, OPADD)
(1, CONSTANTINTD)
(), RIGHTPAREN)
({, LEFTBRACE)
(for, KEYFOR)
((, LEFTPAREN)
(j, IDENTIFIER)
(=, OPASSIGN)
(2, CONSTANTINTD)
(;, SEMICOLON)
(j, IDENTIFIER)
(<, LESS)
(6, CONSTANTINTD)
(;, SEMICOLON)
(j, IDENTIFIER)
(=, OPASSIGN)
(j, IDENTIFIER)
(+, OPADD)
(1, CONSTANTINTD)
(), RIGHTPAREN)
({, LEFTBRACE)
(if, KEYIF)
((, LEFTPAREN)
(i, IDENTIFIER)
(*, OPMUL)
(j, IDENTIFIER)
(==, EQUAL)
(10, CONSTANTINTD)
(), RIGHTPAREN)
(break, KEYBREAK)
(;, SEMICOLON)
(Print, KEYPRINT)
((, LEFTPAREN)
(i, IDENTIFIER)
(,, COMMA)
(j, IDENTIFIER)
(,, COMMA)
("\n", CONSTANTSTR)
(), RIGHTPAREN)
(;, SEMICOLON)
(}, RIGHTBRACE)
(if, KEYIF)
((, LEFTPAREN)
(i, IDENTIFIER)
(==, EQUAL)
(5, CONSTANTINTD)
(), RIGHTPAREN)
(break, KEYBREAK)
(;, SEMICOLON)
(}, RIGHTBRACE)
(Print, KEYPRINT)
((, LEFTPAREN)
("done", CONSTANTSTR)
(), RIGHTPAREN)
(;, SEMICOLON)
(Print, KEYPRINT)
((, LEFTPAREN)
(i, IDENTIFIER)
(,, COMMA)
(j, IDENTIFIER)
(), RIGHTPAREN)
(;, SEMICOLON)
(}, RIGHTBRACE)
