(void, TYPEVOID)
(main, IDENTIFIER)
((, LEFTPAREN)
(), RIGHTPAREN)
({, LEFTBRACE)
(int, TYPEINT)
(i, IDENTIFIER)
(;, SEMICOLON)
(i, IDENTIFIER)
(=, OPASSIGN)
(0, CONSTANTINTD)
(;, SEMICOLON)
(if, KEYIF)
((, LEFTPAREN)
(i, IDENTIFIER)
(>, GREATER)
(12, CONSTANTINTD)
(||, LOGICALOR)
(i, IDENTIFIER)
(<, LESS)
(12, CONSTANTINTD)
(||, LOGICALOR)
(3, CONSTANTINTD)
(==, EQUAL)
(5, CONSTANTINTD)
(&&, LOGICALAND)
(true, CONSTANTTRUE)
(), RIGHTPAREN)
({, LEFTBRACE)
(Print, KEYPRINT)
((, LEFTPAREN)
(1, CONSTANTINTD)
(), RIGHTPAREN)
(;, SEMICOLON)
(}, RIGHTBRACE)
(Print, KEYPRINT)
((, LEFTPAREN)
(2, CONSTANTINTD)
(), RIGHTPAREN)
(;, SEMICOLON)
(}, RIGHTBRACE)
