(class, KEYCLASS)
(Barn, IDENTIFIER)
({, LEFTBRACE)
(void, TYPEVOID)
(AddCow, IDENTIFIER)
((, LEFTPAREN)
(Cow, IDENTIFIER)
(cow, IDENTIFIER)
(), RIGHTPAREN)
({, LEFTBRACE)
(cow, IDENTIFIER)
(., PTR)
(Method1, IDENTIFIER)
((, LEFTPAREN)
(), RIGHTPAREN)
(;, SEMICOLON)
(}, RIGHTBRACE)
(}, RIGHTBRACE)
(void, TYPEVOID)
(main, IDENTIFIER)
((, LEFTPAREN)
(), RIGHTPAREN)
({, LEFTBRACE)
(Cow, IDENTIFIER)
(a, IDENTIFIER)
(;, SEMICOLON)
(Jersey, IDENTIFIER)
(j, IDENTIFIER)
(;, SEMICOLON)
(Cow, IDENTIFIER)
([, LEFTBRACKET)
(], RIGHTBRACKET)
